Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
,Aniket Verma,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Anrich Nortje,6,0,4,4,2.00,8,50.0,0,0,0,0,1,0,6,132,294,7,3/59,42.0,13.36,18.86,0,0
2023.0,Anrich Nortje,10,4,37,23*,12.33,29,127.59,0,0,6,0,2,0,10,240,364,10,2/20,36.4,9.1,24.0,0,0
2022.0,Anrich Nortje,6,1,1,1*,0,6,16.67,0,0,0,0,2,0,6,134,217,9,3/42,24.11,9.72,14.89,0,0
2021.0,Anrich Nortje,8,0,0,0,0.00,0,0.0,0,0,0,0,1,0,8,182,187,12,2/12,15.58,6.16,15.16,0,0
2020.0,Anrich Nortje,16,4,7,3*,7.00,6,116.66,0,0,0,0,4,0,16,366,512,22,3/33,23.27,8.39,16.63,0,0
2024.0,Anshul Kamboj,3,1,2,2*,0,2,100.0,0,0,0,0,3,0,3,60,114,2,1/24,57.0,11.4,30.0,0,0
2024.0,Anuj Rawat,5,1,98,48,24.5,77,127.27,0,0,10,3,5,0,5,0,0,0,0,0,0,0,0,0
2023.0,Anuj Rawat,9,4,91,29*,30.33,71,128.17,0,0,6,4,3,0,9,0,0,0,0,0,0,0,0,0
2022.0,Anuj Rawat,8,0,129,66,16.13,118,109.32,0,1,10,7,6,0,8,0,0,0,0,0,0,0,0,0
2021.0,Anuj Rawat,2,0,0,0*,0.0,1,0.0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
2024.0,Anukul Roy,3.0,1.0,3.0,3*,0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,34,60,0,0/6,0,10.59,0,0,0
2023.0,Anukul Roy,4.0,2.0,23.0,13*,11.50,19.0,121.05,0.0,0.0,3.0,0.0,4.0,0.0,4,48,65,3,2/19,21.67,8.13,16.00,0,0
2022.0,Anukul Roy,2.0,0.0,0.0,0,0.00,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,42,55,1,1/28,55.00,7.86,42.00,0,0
2019.0,Anukul Roy,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,11,1,1/11,11.00,5.5,12.00,0,0
2024.0,Arjun Tendulkar,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,14,22,0,0/22,0,9.43,0,0,0
2023.0,Arjun Tendulkar,4,0,13,13,13.00,9.0,144.44,0,0,0,1,0,0,4,59,92,3,1/9,30.67,9.36,19.67,0,0
2024.0,Arshdeep Singh,14,0,4,4,4.00,3,133.33,0,0,1,0,1,0,14,302,505,19,4/29,26.58,10.03,15.89,1,0
2023.0,Arshdeep Singh,14,2,2,2*,0,2,100.0,0,0,0,0,1,0,14,305,493,17,4/29,29.0,9.7,17.94,1,0
2022.0,Arshdeep Singh,14,3,21,10*,7.00,29,72.41,0,0,3,0,4,0,14,300,385,10,3/37,38.5,7.7,30.0,0,0
2021.0,Arshdeep Singh,12,2,2,1*,0.00,3,66.66,0,0,0,0,4,0,12,248,342,18,5/32,19.0,8.27,13.77,0,1
2020.0,Arshdeep Singh,8,0,0,0*,0.00,3,0.0,0,0,0,0,2,0,8,149,218,9,3/23,24.22,8.77,16.55,0,0
2019.0,Arshdeep Singh,3,0,0,0,0.00,0,0.0,0,0,0,0,0,0,3,60,109,3,2/43,36.33,10.9,20.0,0,0
2024.0,Arshin Kulkarni,2,0,9,9,4.5,8,112.5,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
,Aryan Juyal,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
,Ashok Sharma,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Ashutosh Sharma,11,2,189,61,27.0,113,167.26,0,1,10,15,2,0,11,0,0,0,0,0,0,0,0,0
,Ashwani Kumar,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Atharva Taide,2,0,61,46,30.5,39,156.41,0,0,7,2,0,0,2,1,4,0,0/4,0,24.00,0,0,0
2023.0,Atharva Taide,7,0,186,66,26.57,129,144.19,0,2,20,6,5,0,7,0,0,0,0,0,0,0,0,0
2024.0,Avesh Khan,15,3,10,7*,0,5,200.0,0,0,1,0,2,0,16,329,526,19,3/27,27.68,9.59,17.32,0,0
2023.0,Avesh Khan,9,1,0,0*,0,1,0.0,0,0,0,0,2,0,9,174,283,8,3/25,35.38,9.76,21.75,0,0
2022.0,Avesh Khan,13,3,22,12,22.00,13,169.23,0,0,0,3,2,0,13,286,416,18,4/24,23.11,8.73,15.89,1,0
2021.0,Avesh Khan,16,1,5,5*,0.00,3,166.66,0,0,1,0,1,0,16,366,450,24,3/13,18.75,7.37,15.25,0,0
2020.0,Avesh Khan,1,0,0,0,0.00,0,0.0,0,0,0,0,0,0,1,24,42,0,0/42,0,10.5,0,0,0
2019.0,Avesh Khan,1,1,4,4*,0.00,3,133.33,0,0,1,0,1,0,1,18,30,0,0/30,0,10.0,0,0,0
2018.0,Avesh Khan,6,0,0,0,0.00,0,0.0,0,0,0,0,3,0,6,114,204,4,2/29,51.00,10.73,28.50,0,0
2017.0,Avesh Khan,1,0,0,0,0.00,0,0.0,0,0,0,0,0,0,1,24,23,1,1/23,23.00,5.75,24.00,0,0
2024.0,Axar Patel,14,4,235,66,29.38,179,131.28,0,2,19,10,13,0,14,264,337,11,2/25,30.64,7.66,24.0,0,0
2023.0,Axar Patel,14,3,283,54,28.3,203,139.41,0,1,21,15,7,0,14,282,338,11,2/13,30.73,7.19,25.64,0,0
2022.0,Axar Patel,13,6,182,42*,45.5,120,151.67,0,0,12,10,8,0,13,258,321,6,2/10,53.5,7.47,43.0,0,0
2021.0,Axar Patel,12,1,40,12,8.0,46,86.95,0,0,2,1,4,0,12,276,306,15,3/21,20.4,6.65,18.4,0,0
2020.0,Axar Patel,15,1,117,42,14.62,85,137.64,0,0,6,8,6,0,15,306,327,9,2/18,36.33,6.41,34.0,0,0
2019.0,Axar Patel,14,6,110,26,18.33,88,125.0,0,0,10,3,9,0,14,306,364,10,2/22,36.4,7.13,30.6,0,0
2018.0,Axar Patel,9,2,80,19,13.33,69,115.94,0,0,3,4,2,0,9,156,218,3,1/21,72.66,8.38,52.0,0,0
2017.0,Axar Patel,14,5,227,44,28.37,162,140.12,0,0,11,11,7,0,14,288,362,15,3/11,24.13,7.54,19.2,0,0
2016.0,Axar Patel,14,3,111,36*,15.85,77,144.15,0,0,4,8,2,0,14,287,388,13,4/21,29.84,8.11,22.07,1,0
2015.0,Axar Patel,14,3,206,40*,22.88,174,118.39,0,0,13,8,7,0,14,280,392,13,2/11,30.15,8.4,21.53,0,0
2014.0,Axar Patel,17,2,62,42*,10.33,60,103.33,0,0,6,1,7,0,17,396,405,17,3/24,23.82,6.13,23.29,0,0
2024.0,Ayush Badoni,14,4,235,55*,29.38,171,137.43,0,2,22,5,3,0,14,12,25,0,0/6,0,12.50,0,0,0
2023.0,Ayush Badoni,15,2,238,59*,23.8,172,138.37,0,1,13,12,2,0,15,1,0,0,0/0,0,0,0,0,0
2022.0,Ayush Badoni,13,3,161,54,20.13,130,123.85,0,1,11,7,9,0,13,12,11,2,1/5,5.50,5.50,6.00,0,0
2024.0,Azmatullah Omarzai,7,0,42,17,10.5,33,127.27,0,0,2,2,0,0,7,126,186,4,2/27,46.5,8.86,31.5,0,0
2024.0,B. Sai Sudharsan,12,1,527,103,47.91,373,141.29,1,2,48,16,0,0,12,0,0,0,0,0,0,0,0,0
2023.0,B. Sai Sudharsan,8,1,362,96,51.71,256,141.41,0,3,33,12,2,0,8,0,0,0,0,0,0,0,0,0
2022.0,B. Sai Sudharsan,5,1,145,65*,36.25,114,127.19,0,1,14,3,1,0,5,0,0,0,0,0,0,0,0,0
,Bevon-John Jacobs,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Bhuvneshwar Kumar,16,2,23,13,7.67,29,79.31,0,0,3,0,1,0,16,342,533,11,3/41,48.45,9.35,31.09,0,0
2023.0,Bhuvneshwar Kumar,14,3,42,27,14.0,47,89.36,0,0,4,0,3,0,14,306,425,16,5/30,26.56,8.33,19.13,0,1
2022.0,Bhuvneshwar Kumar,14,3,24,8,8.0,26,92.31,0,0,3,0,2,0,14,313,383,12,3/22,31.92,7.34,26.08,0,0
2021.0,Bhuvneshwar Kumar,11,6,34,14*,34.0,30,113.33,0,0,3,0,0,0,11,252,335,6,1/16,55.83,7.97,42.0,0,0
2020.0,Bhuvneshwar Kumar,4,0,0,0*,0.0,2,0.0,0,0,0,0,0,0,4,85,99,3,2/25,33.0,6.98,28.33,0,0
2019.0,Bhuvneshwar Kumar,15,2,12,7*,4.0,19,63.15,0,0,1,0,4,0,15,354,461,13,2/24,35.46,7.81,27.23,0,0
2018.0,Bhuvneshwar Kumar,12,2,13,7,6.5,16,81.25,0,0,1,0,2,0,12,277,354,9,3/26,39.33,7.66,30.77,0,0
2017.0,Bhuvneshwar Kumar,14,1,4,4*,4.0,4,100.0,0,0,0,0,4,0,14,314,369,26,5/19,14.19,7.05,12.07,0,1
2016.0,Bhuvneshwar Kumar,17,2,43,21,7.16,27,159.25,0,0,6,1,6,0,17,396,490,23,4/29,21.3,7.42,17.21,1,0
2015.0,Bhuvneshwar Kumar,14,2,17,11*,17.0,10,170.0,0,0,2,1,5,0,14,310,407,18,3/26,22.61,7.87,17.22,0,0
2014.0,Bhuvneshwar Kumar,14,1,1,1,1.0,4,25.0,0,0,0,0,2,0,14,319,354,20,4/14,17.7,6.65,15.95,1,0
2013.0,Bhuvneshwar Kumar,16,2,52,24*,7.42,71,73.23,0,0,3,1,2,0,16,342,371,13,3/18,28.53,6.5,26.3,0,0
2012.0,Bhuvneshwar Kumar,11,6,40,11*,13.33,40,100.0,0,0,4,0,0,0,11,234,281,8,2/9,35.12,7.2,29.25,0,0
2011.0,Bhuvneshwar Kumar,4,0,1,1,0.0,1,0.0,0,0,0,0,2,0,4,66,67,3,2/14,22.33,6.09,22.0,0,0
,Corbin Bosch,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Darshan Nalkande,3,0,12,12,12.00,11.0,109.09,0,0,0,1,2,0,3,29,45,3,2/21,15.0,9.31,9.67,0,0
2023.0,Darshan Nalkande,1,0,0,0,0.00,1.0,0.00,0,0,0,0,0,0,1,24,44,1,1/44,44.0,11.0,24.0,0,0
2022.0,Darshan Nalkande,2,0,0,0,0,0.0,0,0,0,0,0,0,0,2,31,59,2,2/37,29.5,11.42,15.5,0,0
2024.0,David Miller,9,3,210,55,35.0,139,151.08,0,1,20,8,5,0,9,0,0,0,0,0,0,0,0,0
2023.0,David Miller,16,5,259,46,32.38,178,145.51,0,0,18,13,11,0,16,0,0,0,0,0,0,0,0,0
2022.0,David Miller,16,9,481,94*,68.71,337,142.73,0,2,32,23,6,0,16,0,0,0,0,0,0,0,0,0
2021.0,David Miller,9,3,124,62,24.8,113,109.73,0,1,11,3,4,0,9,0,0,0,0,0,0,0,0,0
2020.0,David Miller,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019.0,David Miller,10,2,213,59*,26.62,164,129.87,0,1,19,7,7,0,10,0,0,0,0,0,0,0,0,0
2018.0,David Miller,3,1,74,26,37.0,64,115.62,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0
2017.0,David Miller,5,1,83,30*,27.66,80,103.75,0,0,4,4,2,0,5,0,0,0,0,0,0,0,0,0
2016.0,David Miller,14,3,161,31,16.1,131,122.9,0,0,11,4,10,0,14,0,0,0,0,0,0,0,0,0
2015.0,David Miller,13,2,357,89*,32.45,266,134.21,0,2,21,21,7,0,13,0,0,0,0,0,0,0,0,0
2014.0,David Miller,16,6,446,66,44.6,299,149.16,0,3,34,21,14,0,16,0,0,0,0,0,0,0,0,0
2013.0,David Miller,12,5,418,101*,59.71,254,164.56,1,3,28,24,8,0,12,0,0,0,0,0,0,0,0,0
2012.0,David Miller,6,3,98,34*,32.66,75,130.66,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0
2024.0,Deepak Chahar,8,0,0,0,0,0.0,0,0,0,0,0,0,0,8,141,202,5,2/28,40.40,8.6,28.20,0,0
2023.0,Deepak Chahar,10,1,1,1*,0,2.0,50.00,0,0,0,0,1,0,10,204,297,13,3/22,22.85,8.74,15.69,0,0
2021.0,Deepak Chahar,15,2,1,1*,0.00,1.0,100.00,0,0,0,0,5,0,15,324,451,14,4/13,32.21,8.35,23.14,2,0
2020.0,Deepak Chahar,14,2,7,5*,7.00,12.0,58.33,0,0,0,0,3,0,14,312,396,12,2/18,33.00,7.61,26.00,0,0
2019.0,Deepak Chahar,17,0,7,7,3.50,9.0,77.77,0,0,1,0,2,0,17,387,482,22,3/20,21.90,7.47,17.59,0,0
2018.0,Deepak Chahar,12,1,50,39,16.66,29.0,172.41,0,0,1,4,1,0,12,229,278,10,3/15,27.80,7.28,22.90,0,0
2017.0,Deepak Chahar,3,0,14,14,14.00,6.0,233.33,0,0,0,2,0,0,3,42,74,1,1/35,74.00,10.57,42.00,0,0
2016.0,Deepak Chahar,2,0,0,0,0.00,0.0,0.00,0,0,0,0,1,0,2,30,41,0,0/13,0,8.2,0,0,0
2024.0,Deepak Hooda,11,1,145,50,18.13,105,138.1,0,1,16,3,4,0,11,18,22,0,0/9,0,7.33,0,0,0
2023.0,Deepak Hooda,12,1,84,17,7.64,90,93.33,0,0,3,2,10,0,12,6,8,0,0/8,0,8.0,0,0,0
2022.0,Deepak Hooda,15,0,451,59,32.21,330,136.67,0,4,36,18,8,0,15,24,43,1,1/31,43.00,10.75,24.00,0,0
2021.0,Deepak Hooda,12,1,160,64,16.0,123,130.08,0,1,9,9,7,0,12,96,136,2,1/15,68.00,8.5,48.00,0,0
2020.0,Deepak Hooda,7,4,101,62*,101.0,71,142.25,0,1,5,5,3,0,7,6,9,0,0/9,0,9.0,0,0,0
2019.0,Deepak Hooda,11,1,64,20,10.66,63,101.58,0,0,5,1,10,0,11,12,21,1,1/13,21.00,10.5,12.00,0,0
2018.0,Deepak Hooda,9,4,87,32*,21.75,81,107.4,0,0,2,3,3,0,9,18,24,0,0/8,0,8.0,0,0,0
2017.0,Deepak Hooda,10,3,78,19*,26.0,52,150.0,0,0,5,4,5,0,10,24,42,2,1/7,21.00,10.5,12.00,0,0
2016.0,Deepak Hooda,17,1,144,34,10.28,121,119.0,0,0,9,5,3,0,17,78,97,3,2/16,32.33,7.46,26.00,0,0
2015.0,Deepak Hooda,14,0,151,54,16.77,95,158.94,0,1,6,11,1,0,14,91,129,1,1/35,129.00,8.5,91.00,0,0
2024.0,Devdutt Padikkal,7,0,38,13,5.43,53,71.7,0,0,3,0,4,0,7,0,0,0,0,0,0,0,0,0
2023.0,Devdutt Padikkal,11,1,261,52,26.1,200,130.5,0,2,31,6,4,0,11,0,0,0,0,0,0,0,0,0
2022.0,Devdutt Padikkal,17,0,376,54,22.12,306,122.88,0,1,40,14,5,0,17,0,0,0,0,0,0,0,0,0
2021.0,Devdutt Padikkal,14,1,411,101*,31.61,328,125.3,1,1,44,14,7,0,14,0,0,0,0,0,0,0,0,0
2020.0,Devdutt Padikkal,15,0,473,74,31.53,379,124.8,0,5,51,8,8,0,15,0,0,0,0,0,0,0,0,0
2023.0,Devon Conway,16,2,672,92*,51.69,481,139.71,0,6,77,18,6,0,16,0,0,0,0,0,0,0,0,0
2022.0,Devon Conway,7,1,252,87,42.0,173,145.66,0,3,22,12,2,0,7,0,0,0,0,0,0,0,0,0
2024.0,Dhruv Jurel,14,3,195,56*,24.38,141,138.3,0,2,18,7,11,0,14,0,0,0,0,0,0,0,0,0
2023.0,Dhruv Jurel,13,4,152,34*,21.71,88,172.73,0,0,11,9,1,0,13,0,0,0,0,0,0,0,0,0
,Digvesh Singh,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024.0,Donovan Ferreira,2,0,8,7,4.0,11,72.73,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2024.0,Dushmantha Chameera,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,18,48,0,0/48,0,16.0,0,0,0
2022.0,Dushmantha Chameera,12,4,43,17,10.75,28.0,153.57,0,0,3,3,2,0,12,264,384,9,2/17,42.67,8.73,29.33,0,0
,Eshan Malinga,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
